code,name,lat,long,tambon,amphoe,province,basin,region,left_bank,right_bank,ground_level,rid_critical_level
CPY001,สะพานเดชาติวงศ์,15.6886,100.12400,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,26.45,25.72,16.14,
KON003,สุวรรณคูหา,17.575794,102.273167,นาสี,สุวรรณคูหา,หนองบัวลำภู,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,199.928,198.245,195.68,
KON004,เมืองอุดรธานี,17.482060,102.796743,หมูม่น,เมืองอุดรธานี,อุดรธานี,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,171.542,171.037,165.873,
MKG006,พระรามสอง,13.46118,99.94358,แม่กลอง,เมืองสมุทรสงคราม,สมุทรสงคราม,แม่น้ำแม่กลอง,ภาคกลาง,4.4906,3.158,-13.512,
CPY002,พยุหะคีรี,15.426750,100.134730,ท่าน้ำอ้อย,พยุหะคีรี,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,21.44,21.39,9.093,
CPY005,สรรพยา,15.109499,100.268555,โพนางดำออก,สรรพยา,ชัยนาท,แม่น้ำเจ้าพระยา,ภาคกลาง,15.14,15.24,3.411,
CPY006,อินทร์บุรี,15.00595,100.3309,อินทร์บุรี,อินทร์บุรี,สิงห์บุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,13.19,12.56,2.438,
MUN009,เมืองสุรินทร์,14.87526,103.37908,ตระแสง,เมืองสุรินทร์,สุรินทร์,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,136.703,135.283,128.037,
MUN013,ห้วยทับทัน,15.04834,104.02157,ห้วยทับทัน,ห้วยทับทัน,ศรีสะเกษ,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,128.446,129.574,118.659,
BPK002,เมืองฉะเชิงเทรา,13.659140,101.063390,บางพระ,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,แม่น้ำบางปะกง,ภาคตะวันออก,1.893,2.089,-11.808,
RAJ002,บ้านโป่ง,13.81871,99.86498,เบิกไพร,บ้านโป่ง,ราชบุรี,แม่น้ำแม่กลอง,ภาคกลาง,11.599,11.54,0.237,
THA005,เมืองสุพรรณบุรี,14.470490,100.114750,ท่าพี่เลี้ยง,เมืองสุพรรณบุรี,สุพรรณบุรี,แม่น้ำท่าจีน,ภาคกลาง,4.509,5.02,-1.395,
PAS003,หนองไผ่,16.115070,101.097050,นาเฉลียง,หนองไผ่,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,93.567,94.169,87.62,
PAS007,เมืองสระบุรี,14.557736,100.923809,ปากเพรียว,เมืองสระบุรี,สระบุรี,แม่น้ำป่าสัก,ภาคกลาง,11.224,14.417,-0.25,
THA006,บางตาเถร,14.157492,100.127761,บางตาเถร,สองพี่น้อง,สุพรรณบุรี,แม่น้ำท่าจีน,ภาคกลาง,2.3,2.3,-2.948,3
THA007,บางเลน,14.016356,100.179869,บางเลน,บางเลน,นครปฐม,แม่น้ำท่าจีน,ภาคกลาง,2.4,2.4,-2.016,
TKP001,ตะกั่วป่า,8.776257,98.390052,ตำตัว,ตะกั่วป่า,พังงา,ภาคใต้ฝั่งตะวันตก,ภาคใต้,8.778,7.783,5.52,
TNG002,เมืองตรัง,7.555730,99.578451,บางรัก,เมืองตรัง,ตรัง,ภาคใต้ฝั่งตะวันตก,ภาคใต้,4.054,4.054,-3.014,
SAY001,สุคิริน,5.944090,101.771046,สุคิริน,สุคิริน,นราธิวาส,ภาคใต้ฝั่งตะวันออก,ภาคใต้,,,,
THA003,ด่านช้าง,14.835030,99.665380,ด่านช้าง,ด่านช้าง,สุพรรณบุรี,แม่น้ำท่าจีน,ภาคกลาง,65.386,65.306,61.461,
THA002,สรรคบุรี (แม่น้ำน้อย),15.064070,100.162920,เที่ยงแท้,สรรคบุรี,ชัยนาท,แม่น้ำท่าจีน,ภาคกลาง,15.412,14.828,7.228,
MUN015,ท่าตูม,15.32965,103.68252,ทุ่งกุลา,ท่าตูม,สุรินทร์,แม่น้ำมูล,ภาคตะวันออกเฉียงเหนือ,126.055,126.089,115.63,
CHI013,ยางตลาด,16.41118,103.46714,ดอนสมบูรณ์,ยางตลาด,กาฬสินธุ์,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,123.99,125.17,115.6,
CHR004,แม่สรวย,19.65240,99.53796,แม่สรวย,แม่สรวย,เชียงราย,แม่น้ำโขง,ภาคเหนือ,455.329,455.916,450.183,
CMP001,เมืองชุมพร,10.574560,99.145670,หาดพันไกร,เมืองชุมพร,ชุมพร,ภาคใต้ฝั่งตะวันออก,ภาคใต้,8.133,8.787,-0.749,
JNA002,นาทวี,6.737930,100.693260,นาทวี,นาทวี,สงขลา,ภาคใต้ฝั่งตะวันออก,ภาคใต้,,,,
PAS008,ท่าเรือ,14.560138,100.719998,ท่าเรือ,ท่าเรือ,พระนครศรีอยุธยา,แม่น้ำป่าสัก,กรุงเทพและปริมณฑล,8.789,6.72,-4.17,
