station_code,station_name,latitude,longitude,tambon,amphoe,province,basin,sub_basin,left_bank_msl,right_bank_msl,ground_level_msl
SKG005,สะพานแม่วงก์,15.901767,99.47039,ปางมะค่า,ขาณุวรลักษบุรี,กำแพงเพชร,สะแกกรัง,น้ำแม่วง,114.69,115.09,108.91
SKG007,คลองกลาง,15.7832365,99.65319,ศาลเจ้าไก่ต่อ,ลาดยาว,นครสวรรค์,สะแกกรัง,แม่น้ำสะแกกรังตอนล่างส่วนที่ 1,74.1,74.15,70.31
SKM001,อากาศอำนวย,17.777594,104.015045,โพนงาม,อากาศอำนวย,สกลนคร,โขงตะวันออกเฉียงเหนือ,แม่น้ำสงครามตอนล่างส่วนที่ 2,142.857,144.219,131.865
SKM003,บ้านม่วง,17.821562,103.38696,ห้วยหลัว,บ้านม่วง,สกลนคร,โขงตะวันออกเฉียงเหนือ,แม่น้ำสงครามตอนบน,154.8,155.278,145.738
SKM004,ศรีสงคราม,17.67487,104.28575,ศรีสงคราม,ศรีสงคราม,นครพนม,โขงตะวันออกเฉียงเหนือ,แม่น้ำสงครามตอนล่างส่วนที่ 4,143.694,145.404,130.786
SKM005,สว่างแดนดิน,17.594711,103.38447,โพนสูง,สว่างแดนดิน,สกลนคร,โขงตะวันออกเฉียงเหนือ,แม่น้ำสงครามตอนบน,157.313,156.234,148.36
SLA001,หาดใหญ่,6.9801226,100.463234,คอหงส์,หาดใหญ่,สงขลา,ทะเลสาบสงขลา,ทะเลสาบสงขลา ( ลุ่มน้ำสาขา ),7.892,9.175,-3.258
SLA002,คลองหอยโข่ง,6.9312415,100.43985,ทุ่งลาน,คลองหอยโข่ง,สงขลา,ทะเลสาบสงขลา,ทะเลสาบสงขลา ( ลุ่มน้ำสาขา ),9.339,11.211,-1.013
SLA003,สะเดา,6.796684,100.44239,ท่าโพธิ์,สะเดา,สงขลา,ทะเลสาบสงขลา,ทะเลสาบสงขลา ( ลุ่มน้ำสาขา ),16.589,17.17,10.636
SLA005,ปากรอ,7.2614303,100.42435,ปากรอ,สิงหนคร,สงขลา,ทะเลสาบสงขลา,ทะเลสาบสงขลา ( ลุ่มน้ำสาขา ),1.622,0.974,-6.322
SLA007,บางกล่ำ,7.079412,100.42788,ท่าช้าง,บางกล่ำ,สงขลา,ทะเลสาบสงขลา,ทะเลสาบสงขลา ( ลุ่มน้ำสาขา ),1.592,2.71,-1.739
STU001,เมืองสตูล,6.726668,100.06256,ฉลุง,เมืองสตูล,สตูล,ภาคใต้ฝั่งตะวันตก,คลองบำบัง,15.286,15.284,11.52
STU002,ละงู,6.885772,99.80433,ละงู,ละงู,สตูล,ภาคใต้ฝั่งตะวันตก,คลองละงู,2.033,3.023,-1.172
STU003,มะนัง,6.940727,99.87255,นิคมพัฒนา,มะนัง,สตูล,ภาคใต้ฝั่งตะวันตก,คลองละงู,12.884,13.184,4.144
STU004,ควนกาหลง,6.9283543,99.936035,อุใดเจริญ,ควนกาหลง,สตูล,ภาคใต้ฝั่งตะวันตก,คลองละงู,28.887,26.037,19.632
SVI001,สวี 1,10.231241,99.098434,นาโพธิ์,สวี,ชุมพร,ภาคใต้ฝั่งตะวันออกตอนบน,ภาคใต้ฝั่งตะวันออกตอนบนส่วนที่ 2,2.912,3.16,-3.351
SVI002,สวี 2,10.203324,99.04359,นาสัก,สวี,ชุมพร,ภาคใต้ฝั่งตะวันออกตอนบน,ภาคใต้ฝั่งตะวันออกตอนบนส่วนที่ 2,9.244,9.765,-2.691
SWR025,ฝายคลองท่าเลา,8.232547,99.70778,นาหลวงเสน,ทุ่งสง,นครศรีธรรมราช,ภาคใต้ฝั่งตะวันตก,แม่น้ำตรัง,123.816,123.809,120.5
TB0006,ทต.ทุ่งสะโตก,18.573914,98.86223,ทุ่งสะโตก,สันป่าตอง,เชียงใหม่,ปิง,น้ำแม่ขาน,292.182,293.284,289.839
TBW008,ฝ่ายส่งน้ำและบำรุงรักษาที่ 2,18.884207,99.082886,เมืองเล็น,สันทราย,เชียงใหม่,ปิง,น้ำแม่กวง,322.227,322.39,318.75
TBW009,อ่างเก็บน้ำแม่เกี๋ยง,18.432743,99.498314,บ้านเอื้อม,เมืองลำปาง,ลำปาง,วัง,น้ำแม่ตุ๋ย,,,
